attribute,group,n,roc_auc,average_precision,false_positive_rate,false_negative_rate,predicted_default_rate,actual_default_rate,false_positives,false_negatives,true_positives,true_negatives,equalized_odds_gap,operating_threshold,threshold_policy,cost_minimizing_threshold,f1_optimal_threshold,no_gender_auc,auc_degradation_without_gender
ORGANIZATION_TYPE,Business Entity Type 1,1164,0.7418788827239532,0.27061621877821695,0.12394366197183099,0.5757575757575758,0.14948453608247422,0.08505154639175258,132,57,42,933,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Business Entity Type 2,2122,0.7937298747763865,0.307422434062417,0.12871794871794873,0.5116279069767442,0.1578699340245052,0.08105560791705937,251,88,84,1699,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Business Entity Type 3,13556,0.7774699958967384,0.30038176708329906,0.1481964009445485,0.49098039215686273,0.1821333726763057,0.09405429330185895,1820,626,649,10461,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Cleaning,48,0.9348837209302325,0.696923076923077,0.2558139534883721,0.0,0.3333333333333333,0.10416666666666667,11,0,5,32,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Construction,1322,0.7488941261783901,0.2724321810858117,0.2089678510998308,0.4357142857142857,0.24659606656580937,0.1059001512859304,247,61,79,935,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Culture,83,0.6083333333333333,0.07056277056277056,0.0625,1.0,0.060240963855421686,0.03614457831325301,5,3,0,75,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Electricity,193,0.8095238095238094,0.27329631457326015,0.0967741935483871,0.42857142857142855,0.11398963730569948,0.03626943005181347,18,3,4,168,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Emergency,102,0.6728723404255319,0.4918936136327441,0.10638297872340426,0.5,0.13725490196078433,0.0784313725490196,10,4,4,84,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Government,2063,0.7296649899052117,0.20008048904432607,0.11413612565445026,0.6405228758169934,0.13233155598642754,0.07416383906931653,218,98,55,1692,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Hotel,183,0.7417153996101364,0.26178108778244863,0.07602339181286549,0.6666666666666666,0.09289617486338798,0.06557377049180328,13,8,4,158,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Housing,587,0.8468614718614719,0.40874377410153456,0.11317254174397032,0.4166666666666667,0.151618398637138,0.0817717206132879,61,20,28,478,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 1,193,0.7699421965317919,0.2831419693510713,0.2023121387283237,0.45,0.23834196891191708,0.10362694300518134,35,9,11,138,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 10,24,0.5652173913043479,0.09090909090909091,0.13043478260869565,1.0,0.125,0.041666666666666664,3,1,0,20,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 11,535,0.7744069521647226,0.4053089478735269,0.14315352697095435,0.41509433962264153,0.18691588785046728,0.09906542056074766,69,22,31,413,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 12,76,0.7162162162162162,0.5227272727272727,0.06756756756756757,0.5,0.07894736842105263,0.02631578947368421,5,1,1,69,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 13,16,0.8571428571428572,0.41666666666666663,0.35714285714285715,0.0,0.4375,0.125,5,0,2,9,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 2,83,0.9382716049382716,0.5833333333333334,0.14814814814814814,0.0,0.1686746987951807,0.024096385542168676,12,0,2,69,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 3,628,0.8205858885216004,0.3344600804594346,0.18197879858657243,0.3548387096774194,0.22770700636942676,0.09872611464968153,103,22,40,463,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 4,161,0.8391105297580117,0.4352031013074037,0.1510791366906475,0.2727272727272727,0.22981366459627328,0.13664596273291926,21,6,16,118,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 5,133,0.751219512195122,0.2166008991008991,0.10569105691056911,0.7,0.12030075187969924,0.07518796992481203,13,7,3,110,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 6,25,0.7424242424242423,0.2611111111111111,0.18181818181818182,0.3333333333333333,0.24,0.12,4,1,2,18,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 7,262,0.7683823529411764,0.29593737797367875,0.1092436974789916,0.5416666666666666,0.14122137404580154,0.0916030534351145,26,13,11,212,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Industry: type 8,5,,,0.0,,0.0,0.0,0,0,0,5,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
